,year,keywords,title,author
51,2015,"0810 Post-secondary education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 0825 Teaching methods, EDUCATION, 0850 Geoscience education research, EDUCATION",{Enabling Field Experiences in Introductory Geoscience Classes through the Use of Immersive Virtual Reality},"{Moysey}, S.~M. and {Smith}, E. and {Sellers}, V. and {Wyant}, P. and {Boyer}, D.~M. and {Mobley}, C. and {Brame}, S."
52,2016,"0815 Informal education, EDUCATIONDE: 0820 Curriculum and laboratory design, EDUCATIONDE: 0840 Evaluation and assessment, EDUCATIONDE: 0845 Instructional tools, EDUCATION",{Virtual Reality: Bringing the Awe of Our Science into The Classroom with VR},"{Bell}, R.~E. and {Turrin}, M. and {Frearson}, N. and {Boghosian}, A. and {Ferrini}, V.~L. and {Simpson}, F."
53,2020,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0845 Instructional tools, EDUCATION",{``Immersion'' Into Seismic Hazard: Virtual Reality Experience of the California Faults},"{Methvin}, M. and {Pham}, D.~D. and {Kyriakopoulos}, C."
54,2024,,{A Space Physics Virtual Reality Environment for Education and Outreach using 3D Reconstructions of Magnetic Reconnection from NASA's Magnetospheric Multiscale Mission},"{Argall}, Matthew R. and {Akashian}, Avery and {Furey}, Kyle and {Brillant}, Ed and {Freeney}, Aria and {Stevens}, Andrew H. and {Butkiewicz}, Thomas and {Carrigg}, David and {Zaffke}, Stephen and {Torbert}, Roy B."
55,2022,,{Building diverse and inclusive teams: Lessons learned from the development of Virtual Reality learning experiences for STEM fields},"{Ilie}, Raluca and {Chen}, Hsinju and {Kuo}, Joseph"
56,2021,,{In-person and remote classroom virtual reality activities in geology and geophysics: Insights from a test case},"{Pham}, Dianne and {Methvin}, Michael and {Kyriakopoulos}, Christodoulos and {Webb}, Ashley"
57,2016,"1942 Machine learning, INFORMATICSDE: 1964 Real-time and responsive information delivery, INFORMATICSDE: 8099 General or miscellaneous, STRUCTURAL GEOLOGYDE: 8199 General or miscellaneous, TECTONOPHYSICS",{Lost in Virtual Reality: Pathfinding Algorithms Detect Rock Fractures and Contacts in Point Clouds},"{Thiele}, S. and {Grose}, L. and {Micklethwaite}, S."
58,2017,"0810 Post-secondary education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 0825 Teaching methods, EDUCATION",{Immersive Virtual Reality Field Trips in the Geosciences: Integrating Geodetic Data in Undergraduate Geoscience Courses},"{La Femina}, P.~C. and {Klippel}, A. and {Zhao}, J. and {Walgruen}, J.~O. and {Stubbs}, C. and {Jackson}, K.~L. and {Wetzel}, R."
59,2023,,{VRExplorer: A Flexible Virtual Reality Software Designed for Planetary Geophysics Education},"{Lambert}, Ryan and {Marchis}, Franck and {Graykowski}, Ariel and {Civet}, Fran{\c{c}}ois"
60,2020,"1855 Remote sensing, HYDROLOGY, 1906 Computational models, algorithms, INFORMATICS, 1908 Cyberinfrastructure, INFORMATICS, 1916 Data and information discovery, INFORMATICS",{GeospatialVR: A Web-based Virtual Reality Framework for Collaborative Environmental Simulations},"{Sermet}, Y. and {Demir}, I."
